hours,subject,teacher,room
8.00-9.35,spf,Lehrer_spf,RX.X
9.55-11.30,egf,Lehrer_egf,RX.X
13.30-15.05,spf,Lehrer_spf,RX.X
15.20-16.55,spf,Lehrer_spf,RX.X
